,classe,grid_name,year,area_ha
6455,3,NA-19-Z-D,2019,1679151.5155790192
6744,4,NA-19-Z-D,2019,1.2514870910644529
6975,11,NA-19-Z-D,2019,8440.926926284019
7266,12,NA-19-Z-D,2019,4791.106330757256
7556,15,NA-19-Z-D,2019,366.99762910271113
8319,33,NA-19-Z-D,2019,26594.924445580556
8609,3,NA-19-Z-D,2020,1678274.6989317308
8898,4,NA-19-Z-D,2020,1.2514870910644529
9133,11,NA-19-Z-D,2020,8511.138571298648
9424,12,NA-19-Z-D,2020,5073.136973036319
9715,15,NA-19-Z-D,2020,701.553006494859
10490,33,NA-19-Z-D,2020,26787.803882001102
10780,3,NA-19-Z-D,2021,1677292.4427997542
11069,4,NA-19-Z-D,2021,1.1620980712890625
11309,11,NA-19-Z-D,2021,9025.838616237568
11601,12,NA-19-Z-D,2021,5205.346526600753
11891,15,NA-19-Z-D,2021,868.4807181262213
12689,33,NA-19-Z-D,2021,27014.95134560089
12979,3,NA-19-Z-D,2022,1677120.2161385464
13268,4,NA-19-Z-D,2022,1.1620980712890625
13506,11,NA-19-Z-D,2022,6837.893784619535
13796,12,NA-19-Z-D,2022,4857.602229722914
14085,15,NA-19-Z-D,2022,1391.5297739293442
14888,33,NA-19-Z-D,2022,29199.63929901161
15180,3,NA-19-Z-D,2023,1679198.157091238
15470,4,NA-19-Z-D,2023,5.184971319580077
15703,11,NA-19-Z-D,2023,5661.996455365788
15983,12,NA-19-Z-D,2023,3656.186940187265
16267,15,NA-19-Z-D,2023,1915.0530446898208
16786,25,NA-19-Z-D,2023,6.525748211669923
17068,33,NA-19-Z-D,2023,28965.386016991783
8,3,NA-20-V-A,2016,17593.756094154956
1107,15,NA-20-V-A,2016,0.8918900146484374
2156,3,NA-20-V-A,2017,17591.704798854673
3255,15,NA-20-V-A,2017,2.943185314941408
4306,3,NA-20-V-A,2018,17585.550621889324
5406,15,NA-20-V-A,2018,9.097362280273437
6456,3,NA-20-V-A,2019,17544.47682957332
6976,11,NA-20-V-A,2019,3.121675854492188
7267,12,NA-20-V-A,2019,24.795164080810544
7557,15,NA-20-V-A,2019,21.986745624066547
8610,3,NA-20-V-A,2020,17540.03136483846
9134,11,NA-20-V-A,2020,3.121675854492188
9425,12,NA-20-V-A,2020,26.13304495849608
9716,15,NA-20-V-A,2020,25.09432948127301
10781,3,NA-20-V-A,2021,17514.64266104544
11310,11,NA-20-V-A,2021,3.121675854492188
11602,12,NA-20-V-A,2021,26.13304495849608
11892,15,NA-20-V-A,2021,50.483033274284864
